key	ctn	file_new	file_orig	invasion_ff	invasion_spectral	invasion_spectral_delta	invasion_spectral_group	invasion_veena	k14_mean	k14_mean_delta	k14_mean_group	k14_sum	k14_sum_delta	k14_sum_group	k14_veena	orgnum	size_area	size_frac	size_frac_delta	size_frac_group	size_npixel	size_perimeter	tag_color	tag_photometric	tag_scale
CTN001_Tumor_Day6_01	CTN001	CTN001_Day6_01.tif	CTN001_Day6_B1-015_AB01_01.zvi.tif	2.33194356703	0.361534255821	-0.23702360532	0.598557861141	0	0.429362556289	-0.0056360779993	0.434998634288	0.00988457137455	-0.0199010900914	0.0297856614659	1	01	32866.2494522	0.0230215029927	-0.0400719768344	0.0630934798271	33232.0	981.384114282	rgb	2	1.0
CTN001_Tumor_Day6_02	CTN001	CTN001_Day6_02.tif	CTN001_Day6_B1-015_AB01_02.zvi.tif	2.7640833599	0.693027164136	0.0944693029946	0.598557861141	0	0.551359858839	0.116361224551	0.434998634288	0.0108826653583	-0.0189029961076	0.0297856614659	1	02	28117.7779806	0.0197378630016	-0.0433556168255	0.0630934798271	28492.0	988.259502485	rgb	2	1.0
CTN001_Tumor_Day6_03	CTN001	CTN001_Day6_03.tif	CTN001_Day6_B1-015_AB01_03.zvi.tif	2.48772140371	0.503377479745	-0.0951803813964	0.598557861141	0	0.809586552385	0.374587918097	0.434998634288	0.104505603949	0.0747199424831	0.0297856614659	3	03	185426.507343	0.129085152959	0.0659916731319	0.0630934798271	186337.0	2407.64090056	rgb	2	1.0
CTN001_Tumor_Day6_04	CTN001	CTN001_Day6_04.tif	CTN001_Day6_B1-015_AB01_04.zvi.tif	2.72143660721	0.563000122832	-0.0355577383094	0.598557861141	0	0.504389952702	0.0693913184137	0.434998634288	0.0265577634845	-0.00322789798143	0.0297856614659	2	04	75360.6793351	0.0526532365329	-0.0104402432942	0.0630934798271	76006.0	1605.37481517	rgb	2	1.0
CTN001_Tumor_Day6_05	CTN001	CTN001_Day6_05.tif	CTN001_Day6_B1-015_AB01_05.zvi.tif	3.11476461226	0.722753978099	0.124196116958	0.598557861141	0	0.388571430061	-0.0464272042273	0.434998634288	0.0202433892533	-0.00954227221263	0.0297856614659	1	05	74538.1657053	0.0520969574374	-0.0109965223897	0.0630934798271	75203.0	1708.07485159	rgb	2	1.0
CTN001_Tumor_Day6_06	CTN001	CTN001_Day6_06.tif	CTN001_Day6_B1-015_AB01_06.zvi.tif	1.75346693572	0.209742518788	-0.388815342353	0.598557861141	0	0.246804285726	-0.188194348562	0.434998634288	0.00811049026128	-0.0216751712046	0.0297856614659	0	06	47006.0217171	0.0328620317003	-0.0302314481268	0.0630934798271	47437.0	1017.72506573	rgb	2	1.0
CTN001_Tumor_Day6_07	CTN001	CTN001_Day6_07.tif	CTN001_Day6_B1-015_AB01_07.zvi.tif	4.7720618103	1.65371333317	1.05515547203	0.598557861141	0	0.28699038576	-0.148008248528	0.434998634288	0.0219801568932	-0.00780550457273	0.0297856614659	1	07	109629.473671	0.0765884781645	0.0134949983374	0.0630934798271	110557.0	2564.02128827	rgb	2	1.0
CTN001_Tumor_Day6_08	CTN001	CTN001_Day6_08.tif	CTN001_Day6_B1-015_AB01_08.zvi.tif	2.24798221684	0.432499653319	-0.166058207822	0.598557861141	0	0.640655450663	0.205656816375	0.434998634288	0.044670397199	0.0148847357331	0.0297856614659	1	08	100021.308249	0.0697260862337	0.00663260640663	0.0630934798271	100651.0	1680.92227761	rgb	2	1.0
CTN001_Tumor_Day6_09	CTN001	CTN001_Day6_09.tif	CTN001_Day6_B3-016_AB03_01.zvi.tif	3.35054663805	0.590004137853	-0.0085537232884	0.598557861141	0	0.317798482716	-0.117200151572	0.434998634288	0.0453673889751	0.0155817275092	0.0297856614659	1	09	204822.00533	0.142755209488	0.0796617296609	0.0630934798271	206070.0	2936.64245217	rgb	2	1.0
CTN001_Tumor_Day6_10	CTN001	CTN001_Day6_10.tif	CTN001_Day6_B3-016_AB03_02.zvi.tif	1.97879686565	0.255925967651	-0.34263189349	0.598557861141	0	0.174467387742	-0.260531246546	0.434998634288	0.00565418791103	-0.0241314735549	0.0297856614659	1	10	46360.7027039	0.0324082797606	-0.0306852000665	0.0630934798271	46782.0	1073.69404387	rgb	2	1.0
